ID,"Serial Number","Purchase Date","Vessel Description",Vessel,"Device Name","IP Address",Subnet
42,6546546546,2022-11-15,"apa apa je, PIC nazir",1,"hazlan brand",192.168.1.2,255.255.255.255
43,54435155,2014-10-01,"Kapal hantar monitor",10,"Printer ViewSonic",66.249.79.49,255.0.0.0
44,68849865,2019-11-28,"computer untuk bagi pada adib",13,"Computer Riba 1 Malaysia",66.249.79.49,255.0.0.0
45,3541354168,2020-09-16,"PerantiSiswa for Mr. Syafiq",13,"Tablet Samsung Geleci",66.249.79.49,255.0.0.0
46,989862164,2022-11-01,"Hadiah Sebuah Kereta Untuk Hazlan Shah",13,Viva,66.249.79.49,255.0.0.0
47,9665965468,2022-10-12,"Songlap By Adib Jiggly",14,"Duit Rakyat",66.249.79.49,255.0.0.0
48,646512856,2022-09-14,"Kapal membawa banduan",13,"Gari Elektronik",66.249.79.49,255.0.0.0
49,6516518788,2022-08-16,"Kapal membawa perdana menteri",14,"hazlan brand",192.168.1.2,255.255.255.255
50,555546452,2022-04-12,"Kapal bawak harta karun",13,"Duit Rakyat",66.249.79.49,255.0.0.0
51,6512655698749,2022-11-02,"apa apa je, PIC nazir",1,"hazlan brand",192.168.1.2,255.255.255.255
52,asdasdasdad,2022-11-11,,1,,,
53,"Aku Hebat",2022-11-23,,15,,,
